drug_id,drug_name,n,n_sensitive,cv_auc_mean,cv_auc_std,n_features,feature_set
1017,Olaparib,424,212,0.6033328059906132,0.05107495761085224,12,DDR + MSI_FACTOR
1175,Rucaparib,460,230,0.522117202268431,0.04619056943885953,12,DDR + MSI_FACTOR
1259,Talazoparib,456,228,0.5831621508086536,0.05178946568890084,12,DDR + MSI_FACTOR
1030,KU-55933,424,212,0.5867518325159522,0.05440912142406868,12,DDR + MSI_FACTOR
1022,AZD7762,424,212,0.5940410272636185,0.04932804464342719,12,DDR + MSI_FACTOR
1017,Olaparib,424,212,0.7356905552918841,0.05047175285724946,39,DDR + MSI + Tissue
1175,Rucaparib,460,230,0.6814744801512287,0.046257102365998434,39,DDR + MSI + Tissue
1259,Talazoparib,456,228,0.7130833858433102,0.029639274873727067,39,DDR + MSI + Tissue
1030,KU-55933,424,212,0.7500026367136001,0.02469083067981608,39,DDR + MSI + Tissue
1022,AZD7762,424,212,0.7724753467278385,0.035911543056351046,39,DDR + MSI + Tissue
